Days,Death,Recovered,Infectious
666,5133484,256342758,622886
667,5141500,256958034,615276
668,5147766,257458078,500044
669,5152384,257878836,420758
670,5159455,258480726,601890
671,5167504,259072925,592199
672,5176115,259730834,657909
673,5183967,260330225,599391
674,5190869,260942660,612435
675,5197025,261426630,483970
676,5201915,261858772,432142
677,5209364,262490840,632068
678,5217433,263090746,599906
679,5226783,263793386,702640
680,5236929,264501558,708172
681,5245490,265232986,731428
682,5251326,265768226,535240
683,5258756,266228668,460442
684,5265630,266828677,600009
685,5273461,267468691,640014
686,5281789,268180567,711876
687,5290398,268879586,699019
688,5298463,269573871,694285
689,5304824,270093252,519381
690,5309446,270551311,458059
691,5315689,271161072,609761
692,5323467,271797421,636349
693,5332554,272537829,740408
694,5339969,273281600,743771
695,5347247,274049280,767680
696,5353331,274620102,570822
697,5357767,275132653,512551
698,5364399,275869408,736755
699,5372075,276625165,755757
700,5382464,277535523,910358
701,5389736,278542887,1007364
702,5395849,279434565,891678
703,5400210,280137063,702498
704,5403997,280717473,580410
705,5410326,281985804,1268331
706,5417932,283311737,1325933
707,5425822,285007606,1695869
708,5433421,286950350,1942744
709,5440165,288696022,1745672
710,5444616,289921975,1225953
711,5447913,290842531,920556
712,5453647,293201571,2359040
713,5461609,295699793,2498222
714,5469560,298270656,2570863
715,5477213,300930078,2659422
716,5484473,303874196,2944118
717,5490045,306055230,2181034
718,5494055,308088501,2033271
719,5500481,311276954,3188453
720,5509785,314308305,3031351
721,5518995,317749289,3440984
722,5527349,320932538,3183249
723,5535370,324249407,3316869
724,5541794,326746888,2497481
725,5546176,328927840,2180952
726,5552278,331589329,2661489
727,5561557,335349384,3760055
728,5571671,339428942,4079558
729,5581416,343161048,3732106
730,5591411,346998195,3837147
731,5597665,349772957,2774762
732,5602701,352233872,2460915
733,5611206,355655583,3421711
734,5621972,359306814,3651231
735,5632777,363065805,3758991
736,5643184,366769409,3703604
737,5655609,370429317,3659908
738,5663737,373169821,2740504
739,5669178,375459409,2289588
740,5679227,379015310,3555901
741,5692918,382139416,3124106
742,5705114,385317249,3177833
743,5716833,388505578,3188329
744,5729969,391456053,2950475
745,5738380,393770359,2314306
746,5744262,395660749,1890390
747,5755255,398287173,2626424
748,5768173,400887641,2600468
749,5781497,403316785,2429144
750,5793463,406125684,2808899
751,5805455,408543261,2417577
752,5814287,410473002,1929741
753,5819524,412001418,1528416
754,5830401,413711576,1710158
755,5841152,415579634,1868058
756,5854292,417815580,2235946
757,5866545,419876228,2060648
758,5877193,421858137,1981909
759,5885763,423520959,1662822
760,5891135,424830717,1309758
761,5898329,426232725,1402008
762,5908461,427903468,1670743
763,5920506,429819543,1916075
764,5931290,431606036,1786493
765,5940321,433259260,1653224
766,5946975,434706871,1447611
767,5951580,435865601,1158730
768,5959261,437192799,1327198
769,5967630,438791783,1598984
770,5975709,440449842,1658059
771,5983981,442221351,1771509
772,5992693,443982798,1761447
773,5998485,445463387,1480589
774,6002630,446688804,1225417
775,6010211,448123533,1434729
776,6017528,449863135,1739602
777,6025416,451695227,1832092
778,6032997,453565474,1870247
779,6039568,455437309,1871835
780,6044412,457234795,1797486
781,6047832,458517050,1282255
782,6053157,460131244,1614194
783,6058549,461939226,1807982
784,6065479,464170968,2231742
785,6072575,466248397,2077429
786,6078065,468138111,1889714
787,6081978,469875833,1737722
788,6085097,470967446,1091613
789,6101460,472456220,1488774
790,6106419,474434734,1978514
791,6112457,476237353,1802619
792,6117729,478020751,1783398
793,6126679,479780942,1760191
794,6129619,481157011,1376069
795,6132060,482117228,960217
796,6136111,483598571,1481343
797,6140902,485349623,1751052
798,6145883,486946742,1597119
799,6150723,488762273,1815531
800,6155281,489928380,1166107
801,6157966,490995987,1067607
802,6159668,491803584,807597
803,6162751,492715907,912323
804,6167098,494081473,1365566
805,6174513,495501702,1420229
806,6178882,496753486,1251784
807,6182931,497903962,1150476
808,6185116,498700561,796599
809,6186614,499292293,591732
810,6189584,500244191,951898
811,6193050,501338838,1094647
812,6197639,502398030,1059192
813,6201259,503357874,959844
814,6203563,504055414,697540
815,6205069,504648346,592932
816,6206394,505075931,427585
817,6207833,505557060,481129
818,6211265,506497269,940209
819,6215787,507447201,949932
820,6219352,508344880,897679
821,6222305,509150887,806007
822,6223772,509667471,516584
823,6224769,510052079,384608
824,6227188,510633933,581854
825,6231526,511276395,642462
826,6235097,512090295,813900
827,6238173,512821219,730924
828,6240800,513451036,629817
829,6242191,513815111,364075
830,6243185,514127635,312524
831,6244902,514586418,458783
832,6247730,515251537,665119
833,6251558,515867984,616447
834,6254208,516456529,588545
835,6256482,517074133,617604
836,6257518,517420570,346437
837,6258226,517701897,281327
838,6260275,518416856,714959
839,6262511,519047271,630415
840,6265092,519732556,685285
841,6266944,520373947,641391
842,6268909,520939917,565970
843,6269810,521383403,443486
844,6270467,521757920,374517
845,6272210,522366181,608261
846,6274177,522959655,593474
847,6276628,523706918,747263
848,6278455,524292920,586002
849,6280468,524912898,619978
850,6281498,525282662,369764
851,6282047,525606558,323896
852,6283654,526109056,502498
853,6285405,526687465,578409
854,6288064,527321462,633997
855,6289545,527836167,514705
856,6291532,528404365,568198
857,6292258,528691086,286721
858,6292804,528967134,276048
859,6294091,529371518,404384
860,6295631,529993209,621691
861,6297752,530684090,690881
862,6299347,531208332,524242
863,6300880,531751104,542772
864,6301513,532002448,251344
865,6302233,532267244,264796
866,6303291,532707015,439771
867,6305506,533357291,650276
868,6308110,534057646,700355
869,6309719,534634086,576440
870,6311420,535179824,545738
871,6312292,535462069,282245
872,6312780,535664292,202223
873,6314542,536230275,565983
874,6316428,537073703,843428
875,6318410,537792515,718812
876,6320231,538314287,521772
877,6321570,538899910,585623
878,6322160,539127177,227267
879,6322739,539401216,274039
880,6324429,540192743,791527
881,6326120,541005430,812687
882,6328178,541811159,805729
883,6330005,542593888,782729
884,6331831,543352744,758856
885,6332539,543668193,315449
886,6333070,543952896,284703
887,6334608,544881256,928360
888,6336648,545813494,932238
889,6338444,546744721,931227
890,6339842,547802553,1057832
891,6341752,548739100,936547
892,6342481,549096097,356997
893,6343078,549454650,358553
894,6344152,550356475,901825
895,6346272,551541291,1184816
896,6348812,552770103,1228812
897,6351482,553807308,1037205
898,6353706,554790801,983493
899,6354582,555291616,500815
900,6355183,555705658,414042
901,6356896,556815016,1109358
902,6359126,558012111,1197095
903,6362544,559461776,1449665
904,6365627,560390728,928952
905,6367862,561411581,1020853
906,6368826,561990996,579415
